utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 7072, 123, 123, 123, 3, 5]",왜이래... [SEP] 
[2],[2],[2],"[2, 7072, 123, 123, 123, 3, 5]","[2, 2084, 1528, 7335, 6032, 3, 2465, 3242, 2764, 2935, 3, 5]",잘 살고만 있지 [SEP] 캠프 하니 [SEP] 
[2],[2],"[2, 7072, 123, 123, 123, 3, 5]","[2, 2084, 1528, 7335, 6032, 3, 2465, 3242, 2764, 2935, 3, 5]","[2, 5564, 3080, 1944, 5458, 6407, 6464, 5744, 3, 7394, 6432, 6750, 3, 5]",애들은 왜 내가 안하는줄 알아 [SEP] 개소리리를 하네 [SEP] 
[2],"[2, 7072, 123, 123, 123, 3, 5]","[2, 2084, 1528, 7335, 6032, 3, 2465, 3242, 2764, 2935, 3, 5]","[2, 5564, 3080, 1944, 5458, 6407, 6464, 5744, 3, 7394, 6432, 6750, 3, 5]","[2, 7617, 7691, 123, 123, 123, 3, 5451, 123, 123, 123, 3, 5]",시바ㅓㄹ... [SEP] ㅋㅋㅋ...\ [SEP] 
"[2, 7072, 123, 123, 123, 3, 5]","[2, 2084, 1528, 7335, 6032, 3, 2465, 3242, 2764, 2935, 3, 5]","[2, 5564, 3080, 1944, 5458, 6407, 6464, 5744, 3, 7394, 6432, 6750, 3, 5]","[2, 7617, 7691, 123, 123, 123, 3, 5451, 123, 123, 123, 3, 5]","[2, 1151, 4467, 2990, 2946, 2764, 6244, 3, 5]",리눅스나 하세여 [SEP] 
"[2, 2084, 1528, 7335, 6032, 3, 2465, 3242, 2764, 2935, 3, 5]","[2, 5564, 3080, 1944, 5458, 6407, 6464, 5744, 3, 7394, 6432, 6750, 3, 5]","[2, 7617, 7691, 123, 123, 123, 3, 5451, 123, 123, 123, 3, 5]","[2, 1151, 4467, 2990, 2946, 2764, 6244, 3, 5]","[2, 6238, 5996, 2966, 3, 5]",파이썬하고있으 [SEP] 
"[2, 5564, 3080, 1944, 5458, 6407, 6464, 5744, 3, 7394, 6432, 6750, 3, 5]","[2, 7617, 7691, 123, 123, 123, 3, 5451, 123, 123, 123, 3, 5]","[2, 1151, 4467, 2990, 2946, 2764, 6244, 3, 5]","[2, 6238, 5996, 2966, 3, 5]","[2, 7054, 388, 2936, 3, 5588, 2946, 7789, 3, 6535, 5476, 134, 3, 154, 7703, 1330, 3757, 3, 7043, 2921, 5896, 7336, 7043, 3697, 3757, 3, 5]",우리도 그라 [SEP] 공부나 하셈 [SEP] 지랄이야? [SEP] log 배움 [SEP] 로그가 필요하다고 로그배움 [SEP] 
"[2, 7617, 7691, 123, 123, 123, 3, 5451, 123, 123, 123, 3, 5]","[2, 1151, 4467, 2990, 2946, 2764, 6244, 3, 5]","[2, 6238, 5996, 2966, 3, 5]","[2, 7054, 388, 2936, 3, 5588, 2946, 7789, 3, 6535, 5476, 134, 3, 154, 7703, 1330, 3757, 3, 7043, 2921, 5896, 7336, 7043, 3697, 3757, 3, 5]","[2, 154, 7703, 142, 127, 133, 126, 7411, 3, 5]",log_3 9 = 2였나 [SEP] 
"[2, 1151, 4467, 2990, 2946, 2764, 6244, 3, 5]","[2, 6238, 5996, 2966, 3, 5]","[2, 7054, 388, 2936, 3, 5588, 2946, 7789, 3, 6535, 5476, 134, 3, 154, 7703, 1330, 3757, 3, 7043, 2921, 5896, 7336, 7043, 3697, 3757, 3, 5]","[2, 154, 7703, 142, 127, 133, 126, 7411, 3, 5]","[2, 5458, 7733, 6897, 3, 5]",내가 어찌알아 [SEP] 
"[2, 6238, 5996, 2966, 3, 5]","[2, 7054, 388, 2936, 3, 5588, 2946, 7789, 3, 6535, 5476, 134, 3, 154, 7703, 1330, 3757, 3, 7043, 2921, 5896, 7336, 7043, 3697, 3757, 3, 5]","[2, 154, 7703, 142, 127, 133, 126, 7411, 3, 5]","[2, 5458, 7733, 6897, 3, 5]","[2, 1799, 5589, 1267, 3, 5]",알겠지 뭐 [SEP] 
"[2, 7054, 388, 2936, 3, 5588, 2946, 7789, 3, 6535, 5476, 134, 3, 154, 7703, 1330, 3757, 3, 7043, 2921, 5896, 7336, 7043, 3697, 3757, 3, 5]","[2, 154, 7703, 142, 127, 133, 126, 7411, 3, 5]","[2, 5458, 7733, 6897, 3, 5]","[2, 1799, 5589, 1267, 3, 5]","[2, 5458, 5603, 3, 5452, 1944, 5490, 3003, 3, 5536, 1621, 5930, 3, 5]",내가 몰라 [SEP] 진짜 왜 그러냐 [SEP] 그럴 수 있음 [SEP] 
"[2, 154, 7703, 142, 127, 133, 126, 7411, 3, 5]","[2, 5458, 7733, 6897, 3, 5]","[2, 1799, 5589, 1267, 3, 5]","[2, 5458, 5603, 3, 5452, 1944, 5490, 3003, 3, 5536, 1621, 5930, 3, 5]","[2, 7190, 5481, 3, 5]",개새기ㅎㅎ [SEP] 
"[2, 5458, 7733, 6897, 3, 5]","[2, 1799, 5589, 1267, 3, 5]","[2, 5458, 5603, 3, 5452, 1944, 5490, 3003, 3, 5536, 1621, 5930, 3, 5]","[2, 7190, 5481, 3, 5]","[2, 7740, 2946, 221, 3039, 3, 5]",집이나 가셈 [SEP] 
"[2, 1799, 5589, 1267, 3, 5]","[2, 5458, 5603, 3, 5452, 1944, 5490, 3003, 3, 5536, 1621, 5930, 3, 5]","[2, 7190, 5481, 3, 5]","[2, 7740, 2946, 221, 3039, 3, 5]","[2, 5553, 6621, 134, 3, 5]",갑자기 여수? [SEP] 
"[2, 5458, 5603, 3, 5452, 1944, 5490, 3003, 3, 5536, 1621, 5930, 3, 5]","[2, 7190, 5481, 3, 5]","[2, 7740, 2946, 221, 3039, 3, 5]","[2, 5553, 6621, 134, 3, 5]","[2, 5458, 7765, 3, 6621, 6523, 3022, 3, 5]",내가 궁금해 [SEP] 여수 갔다옴 [SEP] 
"[2, 7190, 5481, 3, 5]","[2, 7740, 2946, 221, 3039, 3, 5]","[2, 5553, 6621, 134, 3, 5]","[2, 5458, 7765, 3, 6621, 6523, 3022, 3, 5]","[2, 5647, 123, 123, 123, 3, 5522, 230, 3162, 6124, 3160, 3, 5]",귀찮... [SEP] 존나 갑작스럽네 [SEP] 
"[2, 7740, 2946, 221, 3039, 3, 5]","[2, 5553, 6621, 134, 3, 5]","[2, 5458, 7765, 3, 6621, 6523, 3022, 3, 5]","[2, 5647, 123, 123, 123, 3, 5522, 230, 3162, 6124, 3160, 3, 5]","[2, 1621, 3085, 2965, 723, 3147, 3, 7277, 2970, 877, 6250, 3, 5462, 1895, 3079, 2931, 2976, 536, 2086, 6258, 3, 5]",수명을 다함 [SEP] 에어컨이 디졌어 [SEP] 근데 열대야면 나 잠 못자 [SEP] 
"[2, 5553, 6621, 134, 3, 5]","[2, 5458, 7765, 3, 6621, 6523, 3022, 3, 5]","[2, 5647, 123, 123, 123, 3, 5522, 230, 3162, 6124, 3160, 3, 5]","[2, 1621, 3085, 2965, 723, 3147, 3, 7277, 2970, 877, 6250, 3, 5462, 1895, 3079, 2931, 2976, 536, 2086, 6258, 3, 5]","[2, 6872, 5448, 3, 5]",개꿀잼ㅋㅋㅋㅋㅋㅋ [SEP] 
"[2, 5458, 7765, 3, 6621, 6523, 3022, 3, 5]","[2, 5647, 123, 123, 123, 3, 5522, 230, 3162, 6124, 3160, 3, 5]","[2, 1621, 3085, 2965, 723, 3147, 3, 7277, 2970, 877, 6250, 3, 5462, 1895, 3079, 2931, 2976, 536, 2086, 6258, 3, 5]","[2, 6872, 5448, 3, 5]","[2, 536, 5452, 5704, 2976, 5949, 3, 7277, 2496, 5449, 3, 1268, 5899, 2921, 967, 3155, 3581, 3, 6094, 5500, 1383, 2950, 463, 6826, 3, 6297, 563, 3481, 2921, 1863, 5643, 5798, 5495, 5461, 3, 1563, 3312, 2990, 1579, 2941, 2967, 5712, 3159, 6826, 3, 6353, 563, 3481, 2921, 6055, 5567, 5488, 3, 1563, 3312, 2990, 3401, 2941, 2967, 5712, 5499, 5722, 2952, 3, 558, 408, 2943, 3022, 3, 5]",나 진짜 이러면 죽어 [SEP] 에어컨 켰는데 [SEP] 뭔 코드가 뜨길랴 [SEP] 뭐지 하고 봐서 껏는디 [SEP] 설마 냉매가 없겠어라는 생각으로 [SEP] 서비스 센터에 전화했는디 [SEP] 엄마가 냉매가 없어서 그런거라고 [SEP] 서비스센터에 전화해서 물어봄 [SEP] 낼 기사옴 [SEP] 
"[2, 5647, 123, 123, 123, 3, 5522, 230, 3162, 6124, 3160, 3, 5]","[2, 1621, 3085, 2965, 723, 3147, 3, 7277, 2970, 877, 6250, 3, 5462, 1895, 3079, 2931, 2976, 536, 2086, 6258, 3, 5]","[2, 6872, 5448, 3, 5]","[2, 536, 5452, 5704, 2976, 5949, 3, 7277, 2496, 5449, 3, 1268, 5899, 2921, 967, 3155, 3581, 3, 6094, 5500, 1383, 2950, 463, 6826, 3, 6297, 563, 3481, 2921, 1863, 5643, 5798, 5495, 5461, 3, 1563, 3312, 2990, 1579, 2941, 2967, 5712, 3159, 6826, 3, 6353, 563, 3481, 2921, 6055, 5567, 5488, 3, 1563, 3312, 2990, 3401, 2941, 2967, 5712, 5499, 5722, 2952, 3, 558, 408, 2943, 3022, 3, 5]","[2, 6235, 5448, 3, 6271, 6814, 1858, 2925, 3582, 3080, 2744, 5995, 2925, 2942, 377, 3751, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]",좋닼ㅋㅋㅋ [SEP] 친구가 보낸 얼어붙은 플레이어의 귀환[독점연재] 이용권 (선물)이 도착했어요! 카카오페이지에서 함께 즐겨요~  [SEP] 
"[2, 1621, 3085, 2965, 723, 3147, 3, 7277, 2970, 877, 6250, 3, 5462, 1895, 3079, 2931, 2976, 536, 2086, 6258, 3, 5]","[2, 6872, 5448, 3, 5]","[2, 536, 5452, 5704, 2976, 5949, 3, 7277, 2496, 5449, 3, 1268, 5899, 2921, 967, 3155, 3581, 3, 6094, 5500, 1383, 2950, 463, 6826, 3, 6297, 563, 3481, 2921, 1863, 5643, 5798, 5495, 5461, 3, 1563, 3312, 2990, 1579, 2941, 2967, 5712, 3159, 6826, 3, 6353, 563, 3481, 2921, 6055, 5567, 5488, 3, 1563, 3312, 2990, 3401, 2941, 2967, 5712, 5499, 5722, 2952, 3, 558, 408, 2943, 3022, 3, 5]","[2, 6235, 5448, 3, 6271, 6814, 1858, 2925, 3582, 3080, 2744, 5995, 2925, 2942, 377, 3751, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 1685, 5772, 3117, 388, 3136, 3007, 3, 5]",시어ㅓㄴ 그자체 [SEP] 
"[2, 6872, 5448, 3, 5]","[2, 536, 5452, 5704, 2976, 5949, 3, 7277, 2496, 5449, 3, 1268, 5899, 2921, 967, 3155, 3581, 3, 6094, 5500, 1383, 2950, 463, 6826, 3, 6297, 563, 3481, 2921, 1863, 5643, 5798, 5495, 5461, 3, 1563, 3312, 2990, 1579, 2941, 2967, 5712, 3159, 6826, 3, 6353, 563, 3481, 2921, 6055, 5567, 5488, 3, 1563, 3312, 2990, 3401, 2941, 2967, 5712, 5499, 5722, 2952, 3, 558, 408, 2943, 3022, 3, 5]","[2, 6235, 5448, 3, 6271, 6814, 1858, 2925, 3582, 3080, 2744, 5995, 2925, 2942, 377, 3751, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 1685, 5772, 3117, 388, 3136, 3007, 3, 5]","[2, 5451, 3161, 3340, 3, 5]",ㅋㅋㅋㅋㅋㅋ시원 [SEP] 
