utterance_1,utterance_2,utterance_3,utterance_4,label,original
[2],[2],[2],[2],"[2, 5604, 355, 2970, 3284, 3281, 7177, 3, 5]",저거 구이ㅕㅂ닼ㅋㅋㅋㅋ [SEP] 
[2],[2],[2],"[2, 5604, 355, 2970, 3284, 3281, 7177, 3, 5]","[2, 6622, 2161, 3558, 3, 5]",익명이 졸귀 [SEP] 
[2],[2],"[2, 5604, 355, 2970, 3284, 3281, 7177, 3, 5]","[2, 6622, 2161, 3558, 3, 5]","[2, 6622, 2931, 134, 3, 5]",익명이야? [SEP] 
[2],"[2, 5604, 355, 2970, 3284, 3281, 7177, 3, 5]","[2, 6622, 2161, 3558, 3, 5]","[2, 6622, 2931, 134, 3, 5]","[2, 2059, 2462, 3674, 2941, 7425, 6622, 2931, 3, 5]",이 캐릭터 이름이 익명이야 [SEP] 
"[2, 5604, 355, 2970, 3284, 3281, 7177, 3, 5]","[2, 6622, 2161, 3558, 3, 5]","[2, 6622, 2931, 134, 3, 5]","[2, 2059, 2462, 3674, 2941, 7425, 6622, 2931, 3, 5]","[2, 544, 3444, 6123, 1399, 3198, 2932, 1169, 5488, 2781, 3, 5]",남창이라고 부르지 말라고 해 [SEP] 
"[2, 6622, 2161, 3558, 3, 5]","[2, 6622, 2931, 134, 3, 5]","[2, 2059, 2462, 3674, 2941, 7425, 6622, 2931, 3, 5]","[2, 544, 3444, 6123, 1399, 3198, 2932, 1169, 5488, 2781, 3, 5]","[2, 7505, 123, 123, 123, 134, 3, 5]",일단은...? [SEP] 
"[2, 6622, 2931, 134, 3, 5]","[2, 2059, 2462, 3674, 2941, 7425, 6622, 2931, 3, 5]","[2, 544, 3444, 6123, 1399, 3198, 2932, 1169, 5488, 2781, 3, 5]","[2, 7505, 123, 123, 123, 134, 3, 5]","[2, 544, 3444, 5805, 2931, 3, 973, 3005, 1799, 5610, 3, 5]",남창 별로야 [SEP] 뜻도 알면서 [SEP] 
"[2, 2059, 2462, 3674, 2941, 7425, 6622, 2931, 3, 5]","[2, 544, 3444, 6123, 1399, 3198, 2932, 1169, 5488, 2781, 3, 5]","[2, 7505, 123, 123, 123, 134, 3, 5]","[2, 544, 3444, 5805, 2931, 3, 973, 3005, 1799, 5610, 3, 5]","[2, 6655, 3035, 123, 123, 123, 3, 5800, 6536, 3, 5]",알았엉... [SEP] 얘기해볼게 [SEP] 
"[2, 544, 3444, 6123, 1399, 3198, 2932, 1169, 5488, 2781, 3, 5]","[2, 7505, 123, 123, 123, 134, 3, 5]","[2, 544, 3444, 5805, 2931, 3, 973, 3005, 1799, 5610, 3, 5]","[2, 6655, 3035, 123, 123, 123, 3, 5800, 6536, 3, 5]","[2, 5562, 7840, 2931, 7181, 3201, 3, 5]",너가 화내야되는뎅 [SEP] 
"[2, 7505, 123, 123, 123, 134, 3, 5]","[2, 544, 3444, 5805, 2931, 3, 973, 3005, 1799, 5610, 3, 5]","[2, 6655, 3035, 123, 123, 123, 3, 5800, 6536, 3, 5]","[2, 5562, 7840, 2931, 7181, 3201, 3, 5]","[2, 5727, 3230, 5522, 5699, 5853, 5591, 3, 5640, 7384, 5508, 6939, 5632, 3352, 3, 5]",처음엔 존나 뭐라 그랬었는데 [SEP] 계속 그러니까 아무 생각이 없어짐 [SEP] 
"[2, 544, 3444, 5805, 2931, 3, 973, 3005, 1799, 5610, 3, 5]","[2, 6655, 3035, 123, 123, 123, 3, 5800, 6536, 3, 5]","[2, 5562, 7840, 2931, 7181, 3201, 3, 5]","[2, 5727, 3230, 5522, 5699, 5853, 5591, 3, 5640, 7384, 5508, 6939, 5632, 3352, 3, 5]","[2, 5516, 7477, 2950, 3, 544, 3444, 6123, 1399, 6832, 3, 7108, 2992, 5494, 3, 5]",사람 많은데서 [SEP] 남창이라고 부르면 [SEP] 당황하겠다 [SEP] 
